date,amount,category,description
20-07-2024,125.65,Income,salary
19-07-2024,443.0,Expense,condom
18-07-2024,12.0,Income,Salary
17-07-2024,55.0,Expense,groceries
16-07-2024,200.0,Income,freelance work
15-07-2024,75.25,Expense,restaurant
14-07-2024,90.5,Expense,utilities
13-07-2024,150.0,Income,bonus
12-07-2024,35.0,Expense,transportation
11-07-2024,400.0,Income,investment
10-07-2024,60.0,Expense,clothing
09-07-2024,300.0,Income,project work
08-07-2024,20.0,Expense,coffee
07-07-2024,50.0,Expense,books
06-07-2024,250.0,Income,side job
05-07-2024,100.0,Expense,entertainment
04-07-2024,80.0,Expense,subscription
03-07-2024,90.0,Income,part-time job
02-07-2024,120.0,Expense,medical bills
01-07-2024,500.0,Income,freelance project
30-06-2024,40.0,Expense,gas
29-06-2024,300.0,Income,commission
28-06-2024,60.0,Expense,dining out
27-06-2024,70.0,Expense,groceries
26-06-2024,200.0,Income,freelance work
25-06-2024,30.0,Expense,parking
